RecordID,RecordType,EventTitle,Category,Location,SubmittedDate,ModeratedDate,OrganizerRole,TargetAudience,EventDescription,Capacity,Status,Language,Tags
EV-001,Workshop,Introduction to Artificial Intelligence,Technology,ICT Building Room 301,2026-06-01,2026-06-02,ICT Department,All Students,"Learn the fundamentals of Artificial Intelligence through hands-on activities.",100,Upcoming,English,"AI, technology, workshop"
EV-002,Seminar,Resume and Interview Skills,Career Development,Main Auditorium,2026-06-02,2026-06-03,Career Center,Final Year Students,"Professional resume writing and interview preparation seminar.",200,Registration Open,English,"career, resume, interview"
EV-003,Competition,Campus Coding Challenge,Programming,ICT Computer Lab,2026-06-03,2026-06-04,Computer Science Club,ICT Students,"Programming competition with individual and team categories.",80,Registration Open,English,"coding, programming, competition"
EV-004,Workshop,Startup Idea Bootcamp,Entrepreneurship,Innovation Center,2026-06-04,2026-06-05,Business Faculty,All Students,"Develop and pitch innovative startup ideas with mentors.",120,Upcoming,English,"startup, business, innovation"
EV-005,Cultural Event,International Cultural Festival,Culture,Student Plaza,2026-06-05,2026-06-06,Student Affairs Office,All Students,"Celebrate cultures through food, music, dance, and exhibitions.",500,Upcoming,English,"culture, international, festival"
EV-006,Sports Event,Interfaculty Basketball Tournament,Sports,Sports Complex,2026-06-06,2026-06-07,Sports Club,All Students,"Friendly basketball competition between university faculties.",150,Ongoing,English,"sports, basketball, tournament"
EV-007,Workshop,Cybersecurity Awareness Workshop,Technology,Conference Room B,2026-06-07,2026-06-08,ICT Department,All Students,"Learn online safety, phishing prevention, and password security.",120,Registration Open,English,"cybersecurity, workshop"
EV-008,Volunteer Event,Campus Clean-Up Day,Community Service,University Park,2026-06-08,2026-06-09,Environmental Club,All Students,"Volunteer to help maintain a clean and green campus environment.",200,Registration Open,English,"volunteer, environment"
EV-009,Seminar,Study Abroad Opportunities,Education,Main Auditorium,2026-06-09,2026-06-10,International Office,All Students,"Explore exchange programs and international scholarships.",180,Upcoming,English,"exchange, scholarship"
EV-010,Workshop,Public Speaking Skills,Personal Development,Seminar Room A,2026-06-10,2026-06-11,Communication Club,All Students,"Improve presentation and communication skills.",60,Completed,English,"public speaking, communication"
EV-011,Academic Talk,Future of Cloud Computing,Technology,ICT Hall,2026-06-11,2026-06-12,ICT Department,ICT Students,"Industry experts discuss cloud technologies and careers.",150,Upcoming,English,"cloud, technology"
EV-012,Workshop,Mobile App Development,Programming,Computer Lab 2,2026-06-12,2026-06-13,Software Engineering Club,ICT Students,"Create Android applications using Flutter.",80,Registration Open,English,"flutter, mobile"
EV-013,Seminar,Mental Health Awareness,Health,Student Wellness Center,2026-06-13,2026-06-14,Counseling Center,All Students,"Strategies for stress management and student wellbeing.",200,Completed,English,"mental health, wellness"
EV-014,Cultural Event,Thai Language and Culture Day,Culture,Language Center,2026-06-14,2026-06-15,Language Institute,International Students,"Interactive activities introducing Thai language and traditions.",100,Upcoming,English,"thai, culture"
EV-015,Workshop,Research Writing Skills,Academic,Library Conference Room,2026-06-15,2026-06-16,Library Services,All Students,"Learn citation methods and academic writing techniques.",90,Registration Open,English,"research, writing"
EV-016,Networking Event,Industry Networking Night,Career Development,Innovation Hub,2026-06-16,2026-06-17,Career Center,Senior Students,"Meet company representatives and build professional connections.",250,Upcoming,English,"networking, industry"
EV-017,Competition,Business Plan Competition,Business,Business Building,2026-06-17,2026-06-18,Business Club,All Students,"Present innovative business plans to industry judges.",100,Registration Open,English,"business, competition"
EV-018,Workshop,Graphic Design Essentials,Design,Creative Studio,2026-06-18,2026-06-19,Design Club,All Students,"Learn Canva and Adobe design basics.",70,Completed,English,"design, canva"
EV-019,Sports Event,Campus Fun Run,Sports,University Stadium,2026-06-19,2026-06-20,Sports Office,All Students,"5 km charity fun run promoting healthy lifestyles.",400,Upcoming,English,"running, charity"
EV-020,Volunteer Event,Blood Donation Campaign,Health,Medical Center,2026-06-20,2026-06-21,Red Cross Student Club,All Students,"Donate blood and support local hospitals.",250,Registration Open,English,"blood donation, volunteer"
EV-021,Academic Talk,Data Science Career Path,Technology,ICT Auditorium,2026-06-21,2026-06-22,ICT Department,ICT Students,"Career guidance from professional data scientists.",180,Upcoming,English,"data science, careers"
EV-022,Workshop,Time Management for Students,Personal Development,Learning Center,2026-06-22,2026-06-23,Student Affairs Office,First-year Students,"Learn productivity and study planning strategies.",120,Completed,English,"time management"
EV-023,Cultural Event,Music and Talent Night,Entertainment,Student Plaza,2026-06-23,2026-06-24,Student Union,All Students,"Students showcase music, dance, and creative performances.",500,Upcoming,English,"music, talent"
EV-024,Seminar,Financial Planning for Students,Finance,Business Hall,2026-06-24,2026-06-25,Finance Club,All Students,"Budgeting and financial planning for university life.",100,Upcoming,English,"finance, budgeting"
EV-025,Workshop,Photography Basics,Arts,Media Lab,2026-06-25,2026-06-26,Photography Club,All Students,"Introduction to camera techniques and photo editing.",60,Registration Open,English,"photography"
EV-026,Competition,E-Sports Championship,E-Sports,Student Recreation Center,2026-06-26,2026-06-27,Gaming Club,All Students,"Competitive gaming tournament with prizes.",200,Upcoming,English,"gaming, esports"
EV-027,Workshop,Leadership Development Camp,Leadership,Training Center,2026-06-27,2026-06-28,Leadership Club,Student Leaders,"Develop leadership and teamwork skills.",80,Registration Open,English,"leadership"
EV-028,Academic Talk,Green Campus Sustainability,Environment,Conference Hall,2026-06-28,2026-06-29,Environmental Club,All Students,"Promoting sustainable practices across campus.",150,Upcoming,English,"sustainability, environment"
EV-029,Seminar,Graduate School Information Session,Education,Main Auditorium,2026-06-29,2026-06-30,Graduate School Office,Senior Students,"Information on postgraduate study opportunities.",180,Upcoming,English,"graduate school"
EV-030,Workshop,Exam Preparation Strategies,Academic,Library Seminar Room,2026-06-30,2026-07-01,Academic Support Center,All Students,"Study techniques and exam preparation tips for university students.",150,Registration Open,English,"exam, study skills"
